measuredElement,measuredItemCPC,geographicAreaM49,timePointYears,Value,flagObservationStatus,flagMethod
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2014,1730,"",p
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2015,3154,"",p
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2016,5115,"",p
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2017,3444,"",p
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2018,4630,"",h
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2019,7710,"",h
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2020,4670,"",h
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2021,4710,"",h
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2022,3950,"",h
Production (t) (5510),"True hemp, raw or retted (01929.02)",Italy (380),2023,2350,"",h
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1990,27632,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1991,25248.8,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1992,23838.9,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1993,24317.1,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1994,25541.5,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1995,22287.7,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1996,22874.9,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1997,18697.5,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1998,15714.1,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),1999,16213.3,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2000,17719,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2001,18428,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2002,13998.7,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2003,12397.2,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2004,9634.3,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2005,9824.7,"",p
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2006,18880,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2007,15805,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2008,16320.4,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2009,17190,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2010,18428,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2011,13998.7,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2012,12397.2,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2013,9670,"",-
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2014,9825,"",q
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2015,9655,"",q
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2016,8602.3,"",q
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2017,7895.7,"",q
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2018,7046,"",q
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2019,5320,"",h
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2020,3530,"",h
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2021,3320,"",h
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2022,3170,"",h
Production (t) (5510),Unmanufactured tobacco (01970),France (250),2023,2920,"",h
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1990,214851,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1991,193296,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1992,150855,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1993,135698,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1994,120579,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1995,124492,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1996,130590,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1997,130513,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1998,132509,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),1999,126352,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2000,129937,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2001,130487,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2002,122231,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2003,124985,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2004,117882,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2005,115983,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2006,96600,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2007,110000,E,f
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2008,92560,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2009,97860,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2010,89112,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2011,70130,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2012,50620.3,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2013,49770.4,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2014,53925,"",-
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2015,51406,"",p
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2016,48470,"",p
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2017,56397.9,"",q
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2018,49530,"",h
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2019,41860,"",h
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2020,37830,"",h
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2021,41010,"",h
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2022,30850,"",h
Production (t) (5510),Unmanufactured tobacco (01970),Italy (380),2023,29010,"",h
Production (t) (5510),"Offals n.e.c. (excluding mammals), fresh, chilled or frozen (21170.93)",Italy (380),1991,0,M,-
Production (t) (5510),"Offals n.e.c. (excluding mammals), fresh, chilled or frozen (21170.93)",Italy (380),1992,0,M,-
Production (t) (5510),"Offals n.e.c. (excluding mammals), fresh, chilled or frozen (21170.93)",Italy (380),1993,0,M,-
Production (t) (5510),"Offals n.e.c. (excluding mammals), fresh, chilled or frozen (21170.93)",Italy (380),1994,0,M,-
Production (t) (5510),"Offals n.e.c. (excluding mammals), fresh, chilled or frozen (21170.93)",Italy (380),1995,0,M,-
Production (t) (5510),Liver Preparations (21189.01),France (250),1990,0,"",-
Production (t) (5510),Liver Preparations (21189.01),France (250),1991,0,"",-
Production (t) (5510),Liver Preparations (21189.01),France (250),1992,0,"",-
Production (t) (5510),Liver Preparations (21189.01),France (250),1993,4000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),1994,7000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),1995,9000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),1996,8000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),1997,4000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),1998,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),1999,1000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2000,1000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2001,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2002,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2003,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2004,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2005,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2006,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2007,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2008,2000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2009,1000,I,-
Production (t) (5510),Liver Preparations (21189.01),France (250),2010,1000,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2011,500,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2012,1000,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2013,1000,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2014,750.41,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2015,876.24,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2016,888.72,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2017,827.97,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2018,832.02,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2019,818.45,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2020,806.52,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2021,808.71,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2022,789.92,I,c
Production (t) (5510),Liver Preparations (21189.01),France (250),2023,762.02,I,c
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1990,21300,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1991,20000,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1992,21500,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1993,22000,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1994,22000,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1995,21000,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1996,22000,E,f
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1997,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1998,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),1999,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2000,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2001,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2002,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2003,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2004,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2005,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2006,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2007,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2008,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",France (250),2009,22000,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1990,4400,T,-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1991,4500,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1992,2000,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1993,2800,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1994,2600,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1995,2700,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1996,2700,E,f
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1997,2800,"",-
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1998,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),1999,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2000,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2001,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2002,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2003,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2004,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2005,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2006,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2007,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2008,2800,E,t
Production (t) (5510),"Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates (21291)",Italy (380),2009,2800,E,t
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1990,8100,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1991,12150,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1992,18000,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1993,21600,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1994,20700,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1995,18900,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1996,19800,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1997,22500,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1998,22500,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),1999,22500,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2000,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2001,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2002,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2003,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2004,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2005,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2006,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2007,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2008,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2009,24300,I,-
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2010,24300,I,c
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2011,27000,I,c
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2012,27000,I,c
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2013,27000,I,c
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2014,17077.08,I,c
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2015,16500,E,f
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2016,19000,E,f
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2017,18087.66,I,c
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2018,22000,E,f
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2019,22600,E,f
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2020,28500,E,f
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2021,21913.02,I,c
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2022,19386.59,I,c
Production (t) (5510),"Sweet Corn, Frozen (21319.01)",France (250),2023,19630.39,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1990,45900,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1991,68850,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1992,102000,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1993,122400,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1994,117300,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1995,107100,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1996,112200,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1997,127500,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1998,127500,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),1999,127500,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2000,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2001,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2002,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2003,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2004,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2005,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2006,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2007,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2008,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2009,137700,I,-
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2010,137700,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2011,153000,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2012,153000,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2013,153000,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2014,124418.69,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2015,120214.29,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2016,111285.71,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2017,131781.54,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2018,128857.14,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2019,120000,E,f
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2020,110000,E,f
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2021,128347.7,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2022,113550.03,I,c
Production (t) (5510),"Sweet Corn, Prepared or Preserved (21399.03)",France (250),2023,114977.99,I,c
Production (t) (5510),Grape juice (21434),France (250),1990,0,I,-
Production (t) (5510),Grape juice (21434),France (250),1991,0,I,-
Production (t) (5510),Grape juice (21434),France (250),1992,0,I,-
Production (t) (5510),Grape juice (21434),France (250),1993,0,"",-
Production (t) (5510),Grape juice (21434),France (250),1994,0,"",-
Production (t) (5510),Grape juice (21434),France (250),1995,0,"",-
Production (t) (5510),Grape juice (21434),France (250),1996,0,"",-
Production (t) (5510),Grape juice (21434),France (250),1997,24750,I,-
Production (t) (5510),Grape juice (21434),France (250),1998,20250,I,-
Production (t) (5510),Grape juice (21434),France (250),1999,7500,I,-
Production (t) (5510),Grape juice (21434),France (250),2000,9000,I,-
Production (t) (5510),Grape juice (21434),France (250),2001,37500,I,-
Production (t) (5510),Grape juice (21434),France (250),2002,32250,I,-
Production (t) (5510),Grape juice (21434),France (250),2003,24000,I,-
Production (t) (5510),Grape juice (21434),France (250),2004,22500,I,-
Production (t) (5510),Grape juice (21434),France (250),2005,36000,I,-
Production (t) (5510),Grape juice (21434),France (250),2006,37500,I,-
Production (t) (5510),Grape juice (21434),France (250),2007,3750,I,-
Production (t) (5510),Grape juice (21434),France (250),2008,3750,I,-
Production (t) (5510),Grape juice (21434),France (250),2009,3750,I,-
Production (t) (5510),Grape juice (21434),France (250),2010,3780.17,I,c
Production (t) (5510),Grape juice (21434),France (250),2011,4259.89,I,c
Production (t) (5510),Grape juice (21434),France (250),2012,3511.61,I,c
Production (t) (5510),Grape juice (21434),France (250),2013,3581.46,I,c
Production (t) (5510),Grape juice (21434),France (250),2014,3531.93,I,c
Production (t) (5510),Grape juice (21434),France (250),2015,3553.46,I,c
Production (t) (5510),Grape juice (21434),France (250),2016,3350.59,I,c
Production (t) (5510),Grape juice (21434),France (250),2017,2704.89,I,c
Production (t) (5510),Grape juice (21434),France (250),2018,3634.13,I,c
Production (t) (5510),Grape juice (21434),France (250),2019,5959.79,I,c
Production (t) (5510),Grape juice (21434),France (250),2020,7257.98,I,c
Production (t) (5510),Grape juice (21434),France (250),2021,6139.03,I,c
Production (t) (5510),Grape juice (21434),France (250),2022,7614.77,I,c
Production (t) (5510),Grape juice (21434),France (250),2023,7873.84,I,c
Production (t) (5510),Grape juice (21434),Italy (380),1990,0,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1991,0,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1992,51300,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1993,88200,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1994,100800,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1995,96300,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1996,97200,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1997,105300,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1998,106200,I,-
Production (t) (5510),Grape juice (21434),Italy (380),1999,135900,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2000,114300,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2001,116100,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2002,72000,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2003,30600,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2004,55800,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2005,91800,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2006,121500,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2007,168300,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2008,187200,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2009,232200,I,-
Production (t) (5510),Grape juice (21434),Italy (380),2010,223200,I,i
Production (t) (5510),Grape juice (21434),Italy (380),2011,171000,I,i
Production (t) (5510),Grape juice (21434),Italy (380),2012,207000,I,i
Production (t) (5510),Grape juice (21434),Italy (380),2013,207000,I,i
Production (t) (5510),Grape juice (21434),Italy (380),2014,224825.58,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2015,262872.26,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2016,261029.02,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2017,220734.85,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2018,171403.36,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2019,151086.73,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2020,123966.55,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2021,150799.06,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2022,159099.74,I,c
Production (t) (5510),Grape juice (21434),Italy (380),2023,110510.7,I,c
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1990,190,I,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1991,190,I,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1992,190,I,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1993,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1994,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1995,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1996,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1997,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1998,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),1999,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2000,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2001,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2002,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2003,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2004,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2005,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2006,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2007,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2008,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2009,0,M,-
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2010,0,M,u
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2011,0,M,u
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2012,0,M,u
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2013,0,M,u
Production (t) (5510),Peanut Butter (21495.02),Italy (380),2014,0,M,-
Production (t) (5510),Lard Stearine and Lard Oil (21529.02),Italy (380),1990,0,M,-
Production (t) (5510),Lard Stearine and Lard Oil (21529.02),Italy (380),1991,0,M,-
Production (t) (5510),Lard Stearine and Lard Oil (21529.02),Italy (380),1992,0,M,-
